Date,open,high,low,close,Volume,RSI,MACD,OnBalanceVolume,silver_mean,sp500_mean,vix_mean,gold_mean
01/01/21,28928.8575,29610.675,28636.5175,29334.3975,38862400.94,82.73783999,2519.108667,1066708255,,,,
02/01/21,29334.4,33298.275,28950.6075,32186.0325,103299840.8,87.08044443,2790.984141,1170008095,,,,
03/01/21,32183.5125,34771.7775,31740.2475,33002.5875,101186063.8,88.01054805,3037.324195,1271194159,26.941,,,1925.22
04/01/21,33005.3375,33597.225,27699.5,31993.4275,129090517.3,80.31500699,3115.209489,1142103642,27.3175,3732.635,25.005,1945.125
05/01/21,31992.3625,34377.125,29855.3,33945.3075,93853251.22,83.34786446,3296.435294,1235956893,27.4095,3712.445,26.14,1933.61
06/01/21,33949.3075,36938.8525,33306.075,36759.265,108694521,86.56221718,3625.330352,1344651414,27.1975,3730.175,25.275,1916.86
07/01/21,36759.215,40358.375,36003.25,39438.695,133147130.7,88.78258991,4055.441063,1477798545,26.241,3784.255,23.02,1881.83
08/01/21,39438.745,41949.15,36377.625,40583.0525,151517046.5,89.57487858,4437.494315,1629315591,,3819.87,21.995,
09/01/21,40586.14,41384,38732.85,40097.605,79432853.25,86.77496731,4647.528893,1549882738,,,,
10/01/21,40097.605,41339.45,34717.2775,38157.105,126143807.2,76.4833075,4604.324886,1423738931,25.1085,,,1848.545
11/01/21,38156.105,38256.385,30420.3,35410.5175,297645149.3,64.7733843,4298.903656,1126093782,25.277,3801.38,23.695,1850.485
12/01/21,35413.3425,36626.65,32541.7,34053.81,130104298.6,59.89528217,3902.395785,995989483,25.335,3801.41,23.41,1849.33
13-01-2021,34046.5375,37817.5,32375.15,37383.245,116076255.3,66.55249025,3812.865677,1112065738,25.377,3806.04,22.64,1846.26
14-01-2021,37371.345,40103.95,36733.1075,39149.675,87731671.7,69.44996519,3840.181341,1199797410,25.117,3805.265,22.735,1837.36
15-01-2021,39149.8525,39749.69,34387.8,36747.655,103565913.9,61.63144593,3626.20562,1096231496,,3778.495,23.93,
16-01-2021,36744.9075,37936.95,35372.2,35997.095,83403968.24,59.38185572,3357.362811,1012827528,,,,
17-01-2021,35997.095,36847.675,33830.45,35834.2525,65562934.12,58.87974121,3095.480152,947264593.7,24.8755,,,1832.12
18-01-2021,35827.4475,37475.3075,34787.8,36628.4175,59805182.29,60.62830202,2918.377497,1007069776,25.0715,,,1837.535
19-01-2021,36630.965,37856.4,35862.915,35896.0225,58902705.89,58.17163285,2687.939319,948167070.1,25.491,3790.4,23.135,1855.31
20-01-2021,35898.635,36405.5275,33382.1,35471.4075,62704084.71,56.7362025,2442.892379,885462985.4,25.848,3834.04,22.2,1870.005
21-01-2021,35468.8575,35598.75,30073.35,30857.4325,121077068.4,44.02388655,1854.998425,764385917,25.655,3855.27,21.33,1862.15
22-01-2021,30857.8975,33818.0825,28854.75,32955.0925,106170811.4,49.55745088,1540.592866,870556728.4,,3842.86,22.075,
